befa6c5 was Ben NG Hok Chun, 7 days ago, message: Fix shipment fee calculator |
99b57ad was Ben NG Hok Chun, 7 days ago, message: Invoice Report |
12a8575 was Ben NG Hok Chun, 7 days ago, message: Package and Shipment fix |
0112b20 was Ben NG Hok Chun, 7 days ago, message: There is shipment report |
60a4e0c was Ben NG Hok Chun, 7 days ago, message: Fix packages |
96d4127 was Ben NG Hok Chun, 7 days ago, message: Merge pull request #26 from hcngac/feature-shipment-waybill |
020ea0b was Ben NG Hok Chun, 7 days ago, message: A |
93626ad was Ben NG Hok Chun, 11 days ago, message: Disappeared Files |
7fecac5 was Ben NG Hok Chun, 11 days ago, message: Merge pull request #25 from hcngac/feature-shipment-waybill |
f930edb was Ben NG Hok Chun, 11 days ago, message: Disabled shipmment fee |
8b459b4 was Ben NG Hok Chun, 11 days ago, message: Merge pull request #24 from hcngac/feature-shipment-waybill |
3671c54 was Ben NG Hok Chun, 11 days ago, message: Invoice |
012d652 was Ben NG Hok Chun, 11 days ago, message: Merge pull request #23 from hcngac/bugfix-fee-enquiry-2 |
4191363 was Ben NG Hok Chun, 11 days ago, message: Merge pull request #22 from hcngac/feature-shipment-waybill |
2c67945 was Ben NG Hok Chun, 11 days ago, message: Invoice model half done |
6bcfa86 was Ben NG Hok Chun, 11 days ago, message: Shipment Fee |
6be2de5 was Ben NG Hok Chun, 12 days ago, message: Shipment Tracking |
29b5628 was Ben NG Hok Chun, 12 days ago, message: cancel shipment |
c376a50 was Ben NG Hok Chun, 12 days ago, message: Fix emmployee action |
6afb608 was Ben NG Hok Chun, 12 days ago, message: Fix package currency |
b6b6407 was Ben NG Hok Chun, 12 days ago, message: Merge pull request #21 from hcngac/feature-shipment-waybill |
cd1990a was Ben NG Hok Chun, 12 days ago, message: Finished confirm shipment |
220938b was Ben NG Hok Chun, 12 days ago, message: LOADS OF THINGS |
faaaca0 was Ken, 12 days ago, message: UI fix: Manage Shipment |
7dfebd7 was Ken, 12 days ago, message: Fix bug: Weight <= 0 not add package |
1f2d93d was Ben NG Hok Chun, 12 days ago, message: This is driving me crazy. I don't want to say what this comit is about. Because I can't say it. #taoism |
958cd71 was Ben NG Hok Chun, 12 days ago, message: Remove pickup model |
8dbe3e9 was Ben NG Hok Chun, 12 days ago, message: Fix Package model |
9e96b6a was Ben NG Hok Chun, 12 days ago, message: Merge pull request #20 from hcngac/feature-shipment-tracking-record |
9cf07a0 was Ben NG Hok Chun, 12 days ago, message: Merge branch 'feature-shipment-waybill' into feature-shipment-tracking-record |
d5414b0 was Ben NG Hok Chun, 12 days ago, message: Add layout entry for tracking record entering |
70a52cd was Ben NG Hok Chun, 12 days ago, message: Change model name form TrackingRecord to TrackingSystemRecord Generate view and controller |
95ceefc was Ben NG Hok Chun, 12 days ago, message: TrackingRecord model |
113244f was Ben NG Hok Chun, 12 days ago, message: Fix saving of pickup and recipient addresses |
8bd2a6d was Ben NG Hok Chun, 12 days ago, message: Merge pull request #19 from hcngac/bugfix-fee-enquiry |
6bc5f6a was Ben NG Hok Chun, 12 days ago, message: Service Package Fee Fixed |
4a8d132 was Ben NG Hok Chun, 12 days ago, message: Merge pull request #18 from hcngac/bugfix-shipping-account |
cdeea62 was Ben NG Hok Chun, 12 days ago, message: Merge pull request #17 from hcngac/bugfix-fee-enquiry |
27dc05f was Ben NG Hok Chun, 12 days ago, message: Merge pull request #16 from hcngac/feature-shipment-waybill |
184b38b was Ben NG Hok Chun, 12 days ago, message: Merge branch 'master' into feature-shipment-waybill |
fea6349 was Ben NG Hok Chun, 12 days ago, message: Merge pull request #15 from hcngac/master |
a8b1844 was Ben NG Hok Chun, 12 days ago, message: Merge pull request #14 from hcngac/master |
f1bce5c was Ben NG Hok Chun, 12 days ago, message: Merge pull request #13 from hcngac/bugfix-shipping-account |
8c95c6e was Ben NG Hok Chun, 12 days ago, message: Error fixing of fee enquiry + Shipping account show ID |
86c85bd was Ben NG Hok Chun, 12 days ago, message: Merge pull request #12 from hcngac/OtherReq-Employee |
42b4aaa was xanthe, 12 days ago, message: Added employee actions |
5a0edc3 was Ben NG Hok Chun, 13 days ago, message: Added Comfirm shipment link |
290ce72 was Ben NG Hok Chun, 13 days ago, message: Merge pull request #11 from hcngac/bugfix-shipping-account |
bd61f1a was Ben NG Hok Chun, 13 days ago, message: Merge pull request #9 from hcngac/master |
2390fe6 was Ben NG Hok Chun, 13 days ago, message: Merge pull request #7 from hcngac/bugfix-issue#6 |
3f1ad8d was Ben NG Hok Chun, 13 days ago, message: Merge pull request #3 from hcngac/feature_arrange-package-shipping |
b5fb8f5 was Ben NG Hok Chun, 13 days ago, message: Merge pull request #4 from hcngac/feature_shipment-fee-enquiry |
2edd724 was Ben NG Hok Chun, 13 days ago, message: Merge pull request #5 from hcngac/Feature-ShipmentTracking |
b215901 was Ben NG Hok Chun, 13 days ago, message: Moved position of address list links in layout |
06488f6 was Ben NG Hok Chun, 13 days ago, message: Hide shippingAccountId at addresses |
a891ea0 was Ben NG Hok Chun, 13 days ago, message: Deals with Recipient Addresses and Pickup Addresses Added layout link, modified address model |
ec07662 was Ben NG Hok Chun, 13 days ago, message: Email confirmation of creating shipping account |
4cdb9d1 was Ken, 13 days ago, message: Change Shipping Account Information (Personal): Dropdown list for ProvinceCode and Credit Card Type |
